Predicted Value,Actual Value
145715.07522063385,165600.0
167831.60893075858,126100.0
130486.78407966514,94400.0
143636.6727298892,91900.0
153965.6230835659,124300.0
161926.2854063022,94200.0
151765.5926740397,120800.0
122603.09686601054,101800.0
121824.22103653986,96900.0
166233.69847273032,99200.0
222113.45563048508,172100.0
199570.05125195553,135300.0
183617.27887373406,130800.0
148184.36370777737,101500.0
220137.18889807284,101800.0
217107.33029932194,163900.0
84924.64481357932,111800.0
197451.11959573664,197600.0
197297.65770740234,161400.0
346040.34172301454,212500.0
149276.4024414576,175000.0
121658.99992751732,112500.0
149846.4178573032,106300.0
229355.02530980788,158300.0
167453.33221889965,195000.0
141292.74498579808,173900.0
86076.73061711708,74100.0
117616.3541864163,105000.0
160889.73244648226,101900.0
200439.32517968837,117900.0
178207.48727656563,169400.0
149438.22434565588,116800.0
140751.65418105794,130800.0
166851.88212554393,161000.0
190731.72498205377,137100.0
187841.77056381415,121500.0
165271.4189749623,141500.0
244153.02020943674,149300.0
202308.06559276674,138500.0
220577.08733302017,155300.0
203207.54675932747,155700.0
190531.4429843588,157900.0
139004.55269221915,120000.0
179024.5601667007,179200.0
166061.26139682252,475000.0
139106.15879960227,127500.0
148375.29567392115,86300.0
135010.41946784197,119400.0
200432.5731895551,222800.0
206529.85221306613,322400.0
139756.2382440765,163500.0
227876.67244292848,274200.0
206425.10808324107,327300.0
247759.00504202838,222900.0
231434.40898300483,240200.0
251467.32822831604,215100.0
166900.74207336208,170700.0
204686.09256129054,162100.0
195849.34268194475,121400.0
262551.93497332564,133500.0
171079.3723069972,152500.0
182623.26753414545,153200.0
228413.67658720032,128700.0
184176.55230155852,132000.0
170718.55131664616,127300.0
205743.36517199638,117600.0
201907.24170042138,119800.0
208938.26732765778,110400.0
139513.70835205697,125000.0
172805.8134955081,147600.0
202808.91411488043,194800.0
192728.04570002036,164800.0
199193.95380056414,141700.0
220343.74412609113,151300.0
176811.53622940878,170600.0
89737.99122101879,103100.0
146757.50275027764,108300.0
152120.27986893136,111500.0
164688.16413574823,112500.0
181497.89185968685,208100.0
177874.24684502053,134700.0
241989.6225488967,196700.0
-12820.707266444995,63000.0
207348.32716705007,250000.0
213854.10891702794,294000.0
186459.92984573502,248700.0
149028.03604607304,154300.0
124182.26194827391,90600.0
106898.64398074453,144900.0
143461.44696827792,114000.0
179784.20023107584,140000.0
189182.78452938856,161700.0
188371.56192440633,195200.0
185855.3890700709,256700.0
187120.30820877207,168100.0
146957.987433905,113500.0
119909.12450232312,158200.0
167295.03940753354,162700.0
123996.17326842909,142100.0
202996.1925553804,206900.0
178662.51579460053,264600.0
197664.3977584257,271200.0
189980.3883024288,320800.0
189284.47666838352,278800.0
169139.3021268712,184200.0
155456.18467975856,188300.0
164334.3066243976,186200.0
163686.44691062896,278100.0
197206.06105051818,279400.0
195036.32289378883,283600.0
145019.77316554607,226900.0
172625.66942916356,266800.0
183033.6238219489,221100.0
180438.52513363454,200000.0
135494.3929266461,227300.0
190111.80136758345,207800.0
214404.0531373153,192700.0
169551.64718354875,215800.0
164639.1746562621,183200.0
185044.0941723446,189600.0
178885.1439946112,266300.0
193027.22107738772,183900.0
165014.08303885185,196100.0
229864.168824571,317700.0
146730.23164514272,293900.0
179418.95498598317,330000.0
173599.26914929037,204500.0
178050.12174494323,249600.0
124522.64208925482,253600.0
120983.61504145114,195000.0
92743.0681426164,500001.0
-32531.232906326997,300000.0
300439.5621962099,328800.0
113661.1336840069,222900.0
160221.24275078622,165900.0
217451.27068094106,258900.0
133884.40145533392,225900.0
134072.10926047576,221500.0
247041.24657885413,251300.0
183479.97903997896,233300.0
166467.84169467262,209600.0
173206.7640690642,206300.0
216015.17267080804,227100.0
206791.35692020835,192600.0
138158.68747852586,174200.0
199514.03182166355,208200.0
180729.3093788501,226200.0
173855.0866181229,231700.0
218372.316322119,337000.0
192748.45455658186,225000.0
147013.34393751656,247000.0
197745.71232118364,219300.0
219241.98145039883,221800.0
215616.4383814279,239900.0
238060.72074780427,331600.0
170833.2765229543,208000.0
173538.30277162904,262500.0
-19598.25308780536,350000.0
223325.0958256436,253300.0
156377.49686230783,233700.0
72711.28578371207,42500.0
213905.36454944423,336200.0
251496.00545639032,380000.0
204404.53332934357,357800.0
194854.88056673657,245900.0
174423.43435672982,236100.0
146812.65619285678,55000.0
235690.97970531546,275000.0
199163.7313647654,295500.0
199338.96979435268,267600.0
176802.47720095093,195200.0
196804.8720195019,156800.0
180162.55418272078,205400.0
192508.35019685604,217700.0
136430.69705631078,163800.0
150971.07637951002,179700.0
130618.86991547853,153000.0
192906.97662912682,197800.0
164653.84483799912,165400.0
155875.6824632811,190400.0
166100.19827248494,162000.0
178887.58874128264,158500.0
165494.91091670914,178100.0
166902.6365440658,209900.0
119252.8518991876,155800.0
149519.8102134884,160000.0
122816.54657686452,268300.0
123081.04192341462,142100.0
150554.79067571825,143600.0
158681.067675645,178200.0
107027.27142771783,106300.0
205071.654000373,273100.0
162334.41190458497,280200.0
201010.16516133916,329700.0
207648.23213993755,270800.0
179101.19189218598,315000.0
190778.51266086512,346100.0
146875.9109821935,152600.0
156397.46328370928,144800.0
167408.97515462263,277300.0
138205.9648758354,204800.0
171861.9437924154,181400.0
200632.06071256308,209100.0
191494.0317049561,173800.0
169678.2067378187,175000.0
168037.5696236039,163900.0
164737.0105977682,171300.0
163035.1532985444,166900.0
181430.54122349463,146400.0
194781.24800034543,222400.0
146080.48002733837,205800.0
170750.1015623378,176100.0
188135.6386257417,184800.0
205010.860728109,225600.0
168169.22604153948,172100.0
173600.31446071118,250600.0
221852.65947047534,292900.0
234464.4594664145,267500.0
172477.14797913044,69800.0
165078.10003024942,158600.0
181370.95744738964,261600.0
77275.05638780908,117200.0
224770.0165058971,253400.0
244490.56572194386,272200.0
318549.4850720584,315200.0
127202.11139454508,214200.0
206600.89607983976,215300.0
234003.80163735402,290400.0
232249.95550833616,281700.0
221061.68102233985,258100.0
222202.92176963095,230100.0
245236.78956224115,233700.0
238772.08696677876,251500.0
222352.88923463604,267000.0
197339.58239077448,238600.0
206284.0895823117,266700.0
188523.06810938648,243200.0
200052.02038752835,238600.0
161950.65745757692,214300.0
206052.4745862137,239900.0
215986.32984106333,235900.0
235830.85245106192,236500.0
195553.50699969285,224400.0
176268.92688605914,232100.0
262905.739742067,307000.0
273547.07288861036,314200.0
292621.0169734138,417600.0
237759.48416394237,292500.0
220497.50903840025,266400.0
253836.5846528533,238000.0
242815.39143556732,260300.0
271391.04364168853,287700.0
237701.8993870272,275600.0
201165.01583518335,264300.0
243166.84025245896,277000.0
243095.16850655293,272800.0
220289.05020585607,281300.0
196306.31312521323,239100.0
248717.01479495625,258800.0
242186.9199136608,252400.0
230468.81594010736,257500.0
205324.89092373982,277700.0
175255.1802121461,229400.0
198286.9155766931,256100.0
238560.31039825332,304500.0
219371.86477698095,306700.0
260945.80431149717,268700.0
171724.18101912248,303700.0
238065.3229669332,294500.0
242573.10391982138,270800.0
200242.592966163,319700.0
181857.4040856338,87500.0
233139.07498426683,238600.0
227615.8365371908,304300.0
235193.09988739667,297900.0
274265.7857114747,146500.0
249783.0913644408,284700.0
226516.40864257497,322900.0
249718.52751393462,246400.0
268006.90185694274,263300.0
266708.69543756114,260900.0
240299.72963060995,280700.0
230840.82040910717,276200.0
231954.4950668136,278400.0
244413.39371622537,252600.0
249116.60067940163,265600.0
239809.66169510904,268400.0
267545.962224394,226300.0
214493.7068641849,250700.0
259765.49268941683,302600.0
246625.70290118258,273500.0
223023.0046866935,327600.0
237036.77886283436,246700.0
178971.07751395577,242500.0
200779.71206378815,218800.0
248750.22449733416,237500.0
203157.58287011625,233300.0
202382.05293389581,232400.0
184774.06198559832,244000.0
253189.24526839508,281500.0
208440.163992594,239800.0
278673.6996933329,301000.0
249889.33903569315,272700.0
256209.91393181423,353300.0
232642.1727084958,353700.0
209200.81908601528,262000.0
211618.75964938707,251200.0
235176.08459384562,236200.0
254567.73736415818,272400.0
250379.4676263005,275000.0
241391.34410995655,227400.0
276728.5360968533,263900.0
197649.1511800144,254100.0
188318.60726046772,234600.0
188929.13181522244,228200.0
539428.9096592732,281000.0
284722.51146718627,279300.0
232238.5992955952,262100.0
258211.98370565026,262500.0
226841.42580330995,237500.0
220482.78723930102,241700.0
218924.6567109355,345500.0
121014.42421003584,450000.0
227491.97484987386,270600.0
253156.66125680003,273000.0
238215.80037368927,249000.0
251212.834113319,325800.0
257797.85537486337,280400.0
298669.1331462901,344600.0
264501.45387063996,302100.0
243087.5124050809,281300.0
251454.51509947894,342300.0
358162.4989454663,344500.0
249322.66626622085,284100.0
236547.3498717177,273600.0
245961.10394142312,341300.0
317992.10699612496,324700.0
241942.03177831703,308100.0
238772.94262987754,137500.0
211743.79215447803,292900.0
258774.00113283374,319000.0
249573.12147763223,306800.0
